condition,base_media,base_media_vol,yeast_extract,tryptone,mops,na_l_glut,kh2po4,glucose,water,cells,total,predicted_growth_rate_per_hr
Proposal-1,High Buffer Defined Media,110.0,0.0,30.8,0.0,11.6,0.0,0.0,27.7,19.9,200,1.5327
Proposal-2,High Buffer Defined Media,123.4,9.1,40.0,0.0,2.9,0.0,0.0,14.6,10.0,200,1.3487
Proposal-3,Semi-Defined Media,140.8,10.2,29.0,0.0,0.0,0.0,0.0,10.0,10.0,200,1.2995
Proposal-4,High Buffer Defined Media,100.7,8.9,36.4,0.0,0.5,0.0,0.0,17.0,36.5,200,1.2331
Proposal-5,Semi-Defined Media,117.7,3.3,40.0,16.7,0.0,0.0,0.0,10.0,12.3,200,1.2225
Proposal-6,Semi-Defined Media,120.7,8.2,23.7,0.0,0.0,0.0,0.0,9.9,37.5,200,1.2122
Proposal-7,Semi-Defined Media,134.1,4.7,13.0,6.7,0.0,0.0,0.0,21.5,20.0,200,1.1945
Proposal-8,High Buffer Defined Media,100.0,2.6,38.1,0.0,19.4,0.0,0.0,29.9,10.0,200,1.1407
Proposal-9,Semi-Defined Media,141.8,12.8,3.8,21.5,0.0,0.0,0.0,10.1,10.0,200,1.0892
Proposal-10,Semi-Defined Media,101.4,5.1,0.0,9.3,0.0,0.0,0.0,73.9,10.3,200,1.0512
Proposal-11,High Buffer Defined Media,123.9,2.9,3.1,0.0,19.7,0.0,0.0,40.4,10.0,200,1.0045
Proposal-12,Semi-Defined Media,125.0,7.6,0.3,23.8,0.0,0.0,0.0,10.1,33.2,200,0.9671
Proposal-13,High Buffer Defined Media,101.3,10.7,24.6,0.0,24.7,0.0,0.0,10.3,28.4,200,0.9426
Proposal-14,Semi-Defined Media,156.5,17.3,0.0,0.0,0.0,0.0,0.0,10.0,16.2,200,0.9359
Proposal-15,High Buffer Defined Media,100.0,0.0,2.6,0.0,0.0,0.0,0.0,86.4,11.0,200,0.8837
Proposal-16,High Buffer Defined Media,100.0,5.2,0.0,0.0,24.3,0.0,0.0,10.0,60.5,200,0.866
Proposal-17,Semi-Defined Media,100.0,0.0,0.0,32.9,0.0,0.0,0.0,10.0,57.1,200,0.8395
Proposal-18,Semi-Defined Media,100.4,18.1,0.0,0.0,0.0,0.0,0.0,10.0,71.5,200,0.8084
Proposal-19,High Buffer Defined Media,166.7,0.0,0.0,0.0,0.0,0.0,0.0,13.8,19.5,200,0.6531
Proposal-20,High Buffer Defined Media,124.4,0.0,0.0,0.0,1.2,0.0,0.0,9.9,64.5,200,0.4918
