culture_id,well,condition_id,plate_id,plate_barcode,status,parent_culture_id,reagent_name,reagent_volume_uL,n_timepoints,growth_rate_per_hr,t_inflection_hours,max_absorbance_OD600,max_cell_concentration_cells_per_mL,fit_r2,fit_rmse
CLTR15OQ6PNR25CGRXFLX3TL5LCI2ZA,A1,baseline_1,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,100.0,13,3.003209,1.0694,1.3641,1364100000,0.996695,0.011499
CLTR1XVNY6Q4UJ5N4EUHKE6Y6CVDUAM,A10,baseline_10,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,190.0,13,2.793008,1.811,0.2947,294700000,0.999,0.001995
CLTR1PQGY2ZT5O6IYCKJ5SAWSTRVEXU,A2,baseline_2,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,110.0,13,1.194434,2.6634,0.7409,740900000,0.988193,0.012215
CLTR1IO562YQATWTC5AHBTO4S7VA4XI,A3,baseline_3,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,120.0,13,1.227146,2.3692,0.7271,727100000,0.986421,0.011275
CLTR1CYTMQDTCMLVV7CRLI5FE3JK7DU,A4,baseline_4,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,130.0,13,1.064398,3.1474,0.71,710000000,0.969687,0.013097
CLTR1C3YUS4JUNHGGAEWQLXE3PQOZL4,A5,baseline_5,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,140.0,13,1.181336,2.9142,0.7513,751300000,0.98016,0.011129
CLTR1CBGYVMJEVHBYGOLDDRLXWQTI7Q,A6,baseline_6,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,150.0,13,1.417309,2.189,0.8423,842300000,0.992732,0.010179
CLTR17A3C7NJQCNAMEDQGD4GRR4QJWM,A7,baseline_7,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,160.0,13,0.932272,4.8613,0.7199,719900000,0.964645,0.017639
CLTR1BYR7V63KLDAQGIHAXEB4HLXVCQ,A8,baseline_8,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,170.0,13,1.104575,2.3424,0.7189,718900000,0.968302,0.019224
CLTR1GRBZMHO44PKSBTJFEB4WAB3XBE,A9,baseline_9,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,180.0,13,2.73146,1.8854,0.2802,280200000,0.999511,0.001325
CLTR1YI76BVWVAQZWZS4XM3QMKZTCJ4,B1,baseline_1,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,100.0,13,1.375083,2.3886,0.8829,882900000,0.993636,0.011117
CLTR1HROM7ML5BDRZOKXG5WPHV4YW5A,B10,baseline_10,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,190.0,13,2.613824,1.8088,0.2936,293600000,0.999077,0.00192
CLTR16ECOHAVVNFKRWZ2PNN6AMCBXAA,B2,baseline_2,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,110.0,13,0.861235,3.8892,0.5923,592300000,0.952843,0.013545
CLTR157PBJ2NCFCVS5TTH2S5Z3THYCM,B3,baseline_3,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,120.0,13,1.015062,2.6663,0.7424,742400000,0.96129,0.01773
CLTR1FOJTKHJ436JPSSREUVUYJ45KWI,B4,baseline_4,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,130.0,13,1.047298,3.9439,0.7672,767200000,0.981864,0.011077
CLTR1U2EA3G4VSGS7HVUVD745MVE2QE,B5,baseline_5,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,140.0,13,1.016417,3.4722,0.7828,782800000,0.966726,0.014838
CLTR1OERDUF5FHAJLFFJ2GHEVOIGYU4,B6,baseline_6,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,150.0,13,1.189608,3.0682,0.7531,753100000,0.973087,0.01438
CLTR1YQ5ASLTE5ZVEGZ5TPTYWMWHZRI,B7,baseline_7,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,160.0,13,0.958361,4.3286,0.7221,722100000,0.966516,0.017188
CLTR1IIC7BJGUOZZKKYK766XMFNAZGA,B8,baseline_8,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,170.0,13,0.892495,4.5697,0.663,663000000,0.962972,0.018608
CLTR145AHWNFBYLCWSAMJYTAODILLKI,B9,baseline_9,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,180.0,13,2.374594,1.824,0.3041,304100000,0.995293,0.004395
CLTR1EXQSSZOFR3MOJ6WQ4VZ2R6SKQU,C1,baseline_1,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,100.0,13,1.229132,2.2945,0.663,663000000,0.985152,0.010507
CLTR1CWOXXPS4HLNE6EC7MTGL3IHMQQ,C10,baseline_10,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,190.0,13,2.517001,1.8302,0.2907,290700000,0.996386,0.003646
CLTR124P26R5BOSBZDUH2RV7XNOLXGI,C2,baseline_2,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,110.0,13,1.344798,1.2958,0.5742,574200000,0.93283,0.012698
CLTR1Z2MYIFXADXGY4P24WTQVM42POY,C3,baseline_3,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,120.0,13,1.220391,2.6478,0.826,826000000,0.989726,0.011206
CLTR1W4DLUZYG5BTMEK67UIQPZW422A,C4,baseline_4,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,130.0,13,1.228422,3.1482,0.7657,765700000,0.987789,0.008609
CLTR1P2O3JTOLUHBHPWDWRFJGR5PYEM,C5,baseline_5,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,140.0,13,1.134512,3.0827,0.7543,754300000,0.982178,0.009505
CLTR1TOEYEASD22ES7GT5D25NSD54CY,C6,baseline_6,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,150.0,13,1.068529,3.6219,0.7215,721500000,0.969788,0.01343
CLTR1LVMVCQ3LFT37NUOPLLC6Q3VWFU,C7,baseline_7,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,160.0,13,1.095833,3.159,0.7124,712400000,0.97559,0.013643
CLTR1IXGNBBOBIU6LJFAGEQRJXSZ3DQ,C8,baseline_8,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,170.0,13,2.770835,1.5763,0.3008,300800000,0.998139,0.002873
CLTR13AZJC4U6LCAN47ALF42C7CX2IM,C9,baseline_9,PLT12V3H4WNRSR6CWJ7A72ODORU7EI,CellAI Tutorial Experiment Plate,Active,CLTR1IRTGMCXOWUZEASFX4GDDGRTY5A,Novel Bio Cyclone Media,180.0,13,2.69285,1.6527,0.3077,307700000,0.998505,0.002595
