culture_id,well,condition_id,plate_id,plate_barcode,status,parent_culture_id,reagent_name,reagent_volume_uL,n_timepoints,growth_rate_per_hr,t_inflection_hours,max_absorbance_OD600,max_cell_concentration_cells_per_mL,fit_r2,fit_rmse
CLTR1XYHKUWUCSG6OPAIORN3DWAELXU,B10,LB-3_1,PLT1RLOSUISCDIHOFWDWTLWCUPCOLQ,CellAI Experiment Plate,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"Glucose, KH2PO4 (monobasic), LBv2, MOPS (pH 7), Water","8.0, 8.0, 130.0, 18.0, 16.0",9,0.708666,10.6228,0.3751,375100000,0.990158,0.00979
CLTR1C5OOTJBWKOJ4S52VZLTA2R4OX4,B11,baseline_1,PLT1RLOSUISCDIHOFWDWTLWCUPCOLQ,CellAI Experiment Plate,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,Novel Bio Cyclone,180.0,9,1.21611,1.0444,0.3434,343400000,0.988609,0.009591
CLTR1WJQCQ7PHGGUPJ5W5CPMXW7NE7Y,B2,SD-1_1,PLT1RLOSUISCDIHOFWDWTLWCUPCOLQ,CellAI Experiment Plate,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"MOPS (pH 7), Semi-Defined, Tryptone, Yeast Extract","11.0, 129.0, 26.0, 14.0",9,1.446114,0.9236,0.4924,492400000,0.986683,0.016091
CLTR1BCGZVW3ZZHDXQHSPQTQEYHEZZ4,B3,SD-2_1,PLT1RLOSUISCDIHOFWDWTLWCUPCOLQ,CellAI Experiment Plate,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"MOPS (pH 7), Semi-Defined, Tryptone, Water, Yeast Extract","7.0, 128.0, 14.0, 11.0, 20.0",9,1.417635,0.9741,0.4581,458100000,0.986499,0.015084
CLTR1R7PC6AUHD67ETWWFP5REZSVPHM,B4,SD-3_1,PLT1RLOSUISCDIHOFWDWTLWCUPCOLQ,CellAI Experiment Plate,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"MOPS (pH 7), Semi-Defined, Tryptone, Yeast Extract","9.0, 125.0, 20.0, 26.0",9,1.35333,1.1018,0.502,502000000,0.987825,0.015772
CLTR1A76MBDI37SA364AHAD66FGRQ6I,B5,HB-1_1,PLT1RLOSUISCDIHOFWDWTLWCUPCOLQ,CellAI Experiment Plate,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, Na L-Glutamate, Tryptone, Water, Yeast Extract","110.0, 10.0, 26.0, 20.0, 14.0",9,1.616133,0.8797,0.4545,454500000,0.986268,0.015765
CLTR1B5PDGTPFXN3CUBSBOOCU3BWCVY,B6,HB-2_1,PLT1RLOSUISCDIHOFWDWTLWCUPCOLQ,CellAI Experiment Plate,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, Na L-Glutamate, Tryptone, Water, Yeast Extract","110.0, 6.0, 14.0, 30.0, 20.0",9,1.324148,1.1989,0.4869,486900000,0.990946,0.013266
CLTR1LVWKRIQS4FTGFOOCM2ZPRF4YTQ,B7,HB-3_1,PLT1RLOSUISCDIHOFWDWTLWCUPCOLQ,CellAI Experiment Plate,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"High Buffer Defined, Na L-Glutamate, Tryptone, Water, Yeast Extract","110.0, 8.0, 20.0, 16.0, 26.0",9,1.174552,1.4917,0.5028,502800000,0.991999,0.012681
CLTR1KQB6MMPRTUXCMMUT2SCHGR4YIY,B8,LB-1_1,PLT1RLOSUISCDIHOFWDWTLWCUPCOLQ,CellAI Experiment Plate,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"Glucose, KH2PO4 (monobasic), LBv2, MOPS (pH 7), Water","18.0, 10.0, 130.0, 12.0, 10.0",9,0.691571,4.1067,0.315,315000000,0.990635,0.007562
CLTR1JOYE4LGRICP3NJ7KMVULZKXDKM,B9,LB-2_1,PLT1RLOSUISCDIHOFWDWTLWCUPCOLQ,CellAI Experiment Plate,Active,CLTR1T4GWPCF4XNUORSPZMUHOTAU25Q,"Glucose, KH2PO4 (monobasic), LBv2, MOPS (pH 7), Water","12.0, 6.0, 130.0, 16.0, 16.0",9,0.882567,3.0347,0.3921,392100000,0.991473,0.009902
